Frequenza,Vout,Vin,ritardo,periodo,err vin,err vout,err t,fase mis,fase,atten
100,0.152,10.1,0.00246,0.01,,,0.0000001,1.545663586,88.56,0.015049505
500,0.74,10.1,0.000464,0.002,,,0.0000001,1.457698991,83.52,0.073267327
1000,1.52,10,0.000216,0.001,,,0.0000001,1.357168026,77.76,0.152
1500,2.46,9.6,0.000128,0.000666667,,,0.0000001,1.206371579,69.12,0.25625
1700,2.92,9.36,0.000106,0.000588235,,,0.0000001,1.132229992,64.872,0.311965812
1900,3.32,9.28,0.000088,0.000526316,,,0.0000001,1.050548583,60.192,0.357758621
2100,3.72,8.88,0.0000728,0.00047619,,,0.0000001,0.96057337,55.0368,0.418918919
2300,4.24,8.56,0.0000576,0.000434783,,,0.0000001,0.832396389,47.6928,0.495327103
2500,4.64,8.24,0.0000448,0.0004,,,0.0000001,0.703716754,40.32,0.563106796
2700,5.04,7.92,0.000032,0.00037037,,,0.0000001,0.542867211,31.104,0.636363636
2900,5.28,7.6,0.0000204,0.000344828,,,0.0000001,0.371713243,21.2976,0.694736842
3000,5.36,7.6,0.0000144,0.000333333,,,0.0000001,0.271433605,15.552,0.705263158
3200,5.52,7.44,0.0000048,0.0003125,,,0.0000001,0.096509726,5.5296,0.741935484
3400,5.52,7.44,-0.0000044,0.000294118,,,0.0000001,-0.093996452,-5.3856,0.741935484
3600,5.48,7.44,-0.0000108,0.000277778,,,0.0000001,-0.244290245,-13.9968,0.73655914
3800,5.36,7.6,-0.0000168,0.000263158,,,0.0000001,-0.40111855,-22.9824,0.705263158
4000,5.16,7.76,-0.0000204,0.00025,,,0.0000001,-0.512707921,-29.376,0.664948454
4200,4.96,8,-0.0000236,0.000238095,,,0.0000001,-0.622789328,-35.6832,0.62
4400,4.8,8.24,-0.0000256,0.000227273,,,0.0000001,-0.707737993,-40.5504,0.582524272
4600,4.56,8.4,-0.0000272,0.000217391,,,0.0000001,-0.786152146,-45.0432,0.542857143
4800,4.36,8.56,-0.000028,0.000208333,,,0.0000001,-0.844460105,-48.384,0.509345794
5000,4.16,8.72,-0.0000286,0.0002,,,0.0000001,-0.898495499,-51.48,0.47706422
5500,3.68,9.04,-0.0000292,0.000181818,,,0.0000001,-1.00907956,-57.816,0.407079646
6000,3.32,9.2,-0.0000287,0.000166667,,,0.0000001,-1.08196451,-61.992,0.360869565
9000,2.06,9.84,-0.0000232,0.000111111,,,0.0000001,-1.311929092,-75.168,0.209349593
15000,1.18,10,-0.0000152,6.66667E-05,,,0.0000001,-1.43256625,-82.08,0.118
30000,0.568,10,-0.00000796,3.33333E-05,,,0.0000001,-1.500424651,-85.968,0.0568
50000,0.336,10,-0.00000478,0.00002,,,0.0000001,-1.501681288,-86.04,0.0336
90000,0.186,10,-0.00000271,1.11111E-05,,,0.0000001,-1.532468896,-87.804,0.0186
130000,0.126,10,-0.00000187,7.69231E-06,,,0.0000001,-1.527442348,-87.516,0.0126
200000,0.0776,9.92,-0.00000124,0.000005,,,0.0000001,-1.558229956,-89.28,0.007822581
400000,0.0272,10,-0.00000062,0.0000025,,,0.0000001,-1.558229956,-89.28,0.00272
700000,0.008,10,-0.000000356,1.42857E-06,,,0.0000001,-1.565769779,-89.712,0.0008
900000,0.006,10,-0.000000277,1.11111E-06,,,0.0000001,-1.566398097,-89.748,0.0006
