freq,V0,Vmis,fase,V/V0
30,2.98,0.0088,90,0.00295302
60,3.06,0.0186,90,0.006078431
90,3.06,0.027,90,0.008823529
300,3.06,0.088,88.2,0.02875817
600,3.06,0.17,86.4,0.055555556
900,3.06,0.254,84.3,0.083006536
3000,3.06,0.816,73.5,0.266666667
6000,3.06,1.48,59.6,0.483660131
9000,3.06,1.92,48.6,0.62745098
30000,3.04,2.76,19.4,0.907894737
60000,3.02,2.88,10.4,0.953642384
90000,3.02,2.92,6.47,0.966887417
300000,3.02,2.96,3.23,0.98013245
600000,3.02,2.96,0.863,0.98013245
900000,3.02,2.96,0.649,0.98013245
