freq,V0,Vmis,ritardo(microsec),periodo,err V,err T,fase,V/V0
10000,3.06,2.18,-12.2,100,0.01,0.01,-43.92,0.712418301
10500,3.06,2.12,-12,95.2,0.01,0.01,-45.37815126,0.692810458
11000,3.06,2.08,-11.7,90.9,0.01,0.01,-46.33663366,0.679738562
11500,3.06,2.04,-11.5,86.9,0.01,0.01,-47.64096663,0.666666667
12000,3.06,2,-11.3,83.3,0.01,0.01,-48.83553421,0.653594771
12500,3.06,1.94,-11,80,0.01,0.01,-49.5,0.633986928
13000,3.06,1.9,-11,77,0.01,0.01,-51.42857143,0.620915033
13500,3.06,1.84,-10.7,74.1,0.01,0.01,-51.98380567,0.60130719
14000,3.06,1.8,-10.6,71.4,0.01,0.01,-53.44537815,0.588235294
14500,3.06,1.78,-10.3,69,0.01,0.01,-53.73913043,0.581699346
15000,3.06,1.72,-10.1,66.68,0.01,0.01,-54.52909418,0.562091503
15500,3.06,1.68,-9.9,64.52,0.01,0.01,-55.23868568,0.549019608
16000,3.06,1.68,-9.8,62.52,0.01,0.01,-56.42994242,0.549019608
16500,3.06,1.64,-9.6,60.6,0.01,0.01,-57.02970297,0.535947712
17000,3.06,1.6,-9.4,58.8,0.01,0.01,-57.55102041,0.522875817
17500,3.06,1.56,-9.3,57.12,0.01,0.01,-58.61344538,0.509803922
18000,3.06,1.52,-9.1,55.56,0.01,0.01,-58.96328294,0.496732026
18500,3.06,1.48,-9,54.04,0.01,0.01,-59.95558845,0.483660131
19000,3.06,1.48,-8.8,52.6,0.01,0.01,-60.22813688,0.483660131
19500,3.06,1.44,-8.7,51.32,0.01,0.01,-61.02883866,0.470588235
20000,3.06,1.4,-8.5,50,0.01,0.01,-61.2,0.45751634
