freq,V0,Vmis,fase,V/V0
30,2.98,2.96,0,0.993288591
60,3.06,3.02,0,0.986928105
90,3.06,3.04,0,0.993464052
300,3.06,3.04,0,0.993464052
600,3.06,3.04,0,0.993464052
900,3.06,3.04,0,0.993464052
3000,3.06,2.92,16.4,0.954248366
6000,3.06,2.64,29.8,0.862745098
9000,3.06,2.28,40.8,0.745098039
30000,3.02,1,69.1,0.331125828
60000,3.02,0.52,72.6,0.17218543
90000,3.02,0.36,79.6,0.119205298
300000,3.06,0.112,83,0.036601307
600000,3.06,0.0568,84.2,0.018562092
900000,3.06,0.0372,85.5,0.012156863
