freq,V0,Vmis,ritardo(microsec),periodo,err V,err T,fase,V/V0
10000,3.06,2.02,12.7,100,0.01,0.01,45.72,0.660130719
10500,3.06,2.08,11.7,95.2,0.01,0.01,44.24369748,0.679738562
11000,3.06,2.12,10.9,90.9,0.01,0.01,43.16831683,0.692810458
11500,3.06,2.16,10.1,86.9,0.01,0.01,41.84119678,0.705882353
12000,3.06,2.2,9.4,83.3,0.01,0.01,40.6242497,0.718954248
12500,3.06,2.24,8.8,80,0.01,0.01,39.6,0.732026144
13000,3.06,2.28,8.2,77,0.01,0.01,38.33766234,0.745098039
13500,3.06,2.32,7.7,74.1,0.01,0.01,37.40890688,0.758169935
14000,3.06,2.34,7.2,71.4,0.01,0.01,36.30252101,0.764705882
14500,3.06,2.36,6.84,69,0.01,0.01,35.68695652,0.77124183
15000,3.06,2.4,6.44,66.68,0.01,0.01,34.76904619,0.784313725
15500,3.06,2.42,6.04,64.52,0.01,0.01,33.70117793,0.790849673
16000,3.06,2.44,5.72,62.52,0.01,0.01,32.93666027,0.797385621
16500,3.06,2.48,5.44,60.6,0.01,0.01,32.31683168,0.810457516
17000,3.06,2.48,5.12,58.8,0.01,0.01,31.34693878,0.810457516
17500,3.06,2.52,4.88,57.12,0.01,0.01,30.75630252,0.823529412
18000,3.06,2.52,4.64,55.56,0.01,0.01,30.06479482,0.823529412
18500,3.06,2.54,4.4,54.04,0.01,0.01,29.31162102,0.830065359
19000,3.06,2.56,4.2,52.6,0.01,0.01,28.74524715,0.836601307
19500,3.06,2.56,4,51.32,0.01,0.01,28.05923617,0.836601307
20000,3.06,2.58,3.8,50,0.01,0.01,27.36,0.843137255
